        100
  3.523E-02  0  199
  3.881E-02  200  399
  4.275E-02  400  599
  4.710E-02  600  799
  5.189E-02  800  999
  5.716E-02  1000  1199
  6.297E-02  1200  1399
  6.939E-02  1400  1599
  7.640E-02  1600  1799
  8.416E-02  1800  1999
  9.272E-02  2000  2199
  1.021E-01  2200  2399
  1.126E-01  2400  2599
  1.240E-01  2600  2799
  1.366E-01  2800  2999
  1.505E-01  3000  3199
  1.658E-01  3200  3399
  1.826E-01  3400  3599
  2.011E-01  3600  3799
  2.216E-01  3800  3999
  2.441E-01  4000  4199
  2.689E-01  4200  4399
  2.963E-01  4400  4599
  3.263E-01  4600  4799
  3.595E-01  4800  4999
  3.960E-01  5000  5199
  4.362E-01  5200  5399
  4.806E-01  5400  5599
  5.294E-01  5600  5799
  5.832E-01  5800  5999
  6.425E-01  6000  6199
  7.079E-01  6200  6399
  7.794E-01  6400  6599
  8.590E-01  6600  6799
  9.465E-01  6800  6999
  1.042E+00  7000  7199
  1.148E+00  7200  7399
  1.265E+00  7400  7599
  1.394E+00  7600  7799
  1.535E+00  7800  7999
  1.691E+00  8000  8199
  1.863E+00  8200  8399
  2.052E+00  8400  8599
  2.261E+00  8600  8799
  2.491E+00  8800  8999
  2.743E+00  9000  9199
  3.023E+00  9200  9399
  3.330E+00  9400  9599
  3.668E+00  9600  9799
  4.041E+00  9800  9999
  4.451E+00  10000  10199
  4.904E+00  10200  10399
  5.402E+00  10400  10599
  5.951E+00  10600  10799
  6.556E+00  10800  10999
  7.219E+00  11000  11199
  7.955E+00  11200  11399
  8.763E+00  11400  11599
  9.653E+00  11600  11799
  1.064E+01  11800  11999
  1.172E+01  12000  12199
  1.291E+01  12200  12399
  1.422E+01  12400  12599
  1.566E+01  12600  12799
  1.725E+01  12800  12999
  1.901E+01  13000  13199
  2.094E+01  13200  13399
  2.307E+01  13400  13599
  2.541E+01  13600  13799
  2.800E+01  13800  13999
  3.084E+01  14000  14199
  3.397E+01  14200  14399
  3.743E+01  14400  14599
  4.123E+01  14600  14799
  4.542E+01  14800  14999
  5.003E+01  15000  15199
  5.511E+01  15200  15399
  6.072E+01  15400  15599
  6.691E+01  15600  15799
  7.366E+01  15800  15999
  8.115E+01  16000  16199
  8.944E+01  16200  16399
  9.853E+01  16400  16599
  1.085E+02  16600  16799
  1.195E+02  16800  16999
  1.317E+02  17000  17199
  1.451E+02  17200  17399
  1.598E+02  17400  17599
  1.761E+02  17600  17799
  1.939E+02  17800  17999
  2.136E+02  18000  18199
  2.354E+02  18200  18399
  2.593E+02  18400  18599
  2.856E+02  18600  18799
  3.146E+02  18800  18999
  3.466E+02  19000  19199
  3.818E+02  19200  19399
  4.207E+02  19400  19599
  4.634E+02  19600  19799
  5.105E+02  19800  19999
